query_id,query_text,doc_id,chunk_id,doc_text,dense_rank,dense_score,sparse_rank,sparse_score,label,split,source_case_id
10304,Are there limits on frequency of withdrawal from Roth 401K?,432939,432939,"Also, consider the possibility of early withdrawal penalties.  Regular 401k early withdrawal (for non-qualified reasons) gets you a 10% penalty, in addition to tax, on the entire amount, even if you're just withdrawing your own contributions.  Withdrawing from a Roth 401k can potentially mean less penalties (if it's been in place 5 years, and subject to a bunch of fine print of course).",1.0,0.6602773666381836,4.0,30.101242343574377,-1,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,466626,466626,"""Couple points: 1) Since the Roth is after tax, you can effectively contribute more than you could with the Traditional IRA before hitting the limits. So in your example, if you had extra money you wanted to invest in an IRA, you could invest up to $1,750 more into the Roth but only $500 more into the Traditional (current limits are $5,500 per year for single filers under 50). Your example assumes",10.0,0.5786852836608887,19.0,26.61785331962472,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,469311,469311,"Just the amount contributed to the Roth 401k that you rolled over, not the conversions from regular 401k/traditional IRA (for those there are holding period limitation of 5 year from conversion), the earning on it or the employer's match (neither of these can be withdrawn without penalty as a non-qualified withdrawal). However, I'd suggest not to withdraw from Roth IRA unless you're sleeping on a ",62.0,0.4973526298999786,2.0,31.212614955374026,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,47747,47747,"""The Finance Buff discusses why the Roth 401k is often disadvantaged compared to a Traditional 401k in the article The Case Against the Roth 401k, including the following reasons (paraphrased): Contributions to the 401k come from the """"top"""" of your highest tax bracket rate but withdrawals fill in from the """"bottom"""".  For example, suppose you are in the 28% tax bracket.  Every marginal dollar you",44.0,0.5155318975448608,8.0,29.43724182273028,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,466720,466720,"One additional note related to Roth vs regular: for a regular 401k or IRA, you pay the 10% penalty on any withdrawal.  For a Roth, you can withdraw the contributions early (but not the earnings) without any penalty or tax. Of course, if this is a retirement account it's better to leave it that way.  Personally it's one reason I avoid Roth - in addition to probably being in a higher bracket now, I ",6.0,0.5960409045219421,50.0,24.339904278622853,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,262322,262322,"""Assuming you are below retirement age, you typically cannot roll money from a Roth IRA into a 401k nor transfer money out of a 401k until you leave the company. Your best bet is to leave your exising roth ira separate from your 401k.  A good strategy for retirement accounts is whenever able (typically when you switch jobs) roll your 401k into a """"rollover IRA"""" (not a roth).   Then you can manage",58.0,0.4997525215148926,6.0,29.822885707724932,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,221050,221050,"As you already mentioned, a traditional 401K is tax-deferred, so you don't pay any taxes on the money in the account until you retire.  A Roth 401K has already been taxed, so you don't pay taxes on withdrawal (assuming you withdrawal after 59 1/2 years of age) The Roth 401K is advantageous if you believe you'll be in a higher tax bracket than you are currently. This applies more so if you're out o",96.0,0.4780672192573547,1.0,32.38712217790329,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,103842,103842,Does the 5 year rule apply on the After-tax 401k -> Roth 401k -> Roth   IRA conversion of the 20000 (including 10000 earnings that was   originally pre-tax)? No. The after-tax amounts are not subject to the 5 years rule. The earnings are. How does this affect Roth IRA withdrawal ordering rules with respect   to the taxable portion of a single conversion being withdrawn before   the non-taxable por,61.0,0.4974589943885803,14.0,27.459774899062023,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,72160,72160,"""If it was me, I would drop out. You can achieve a better kind of plan when there is no match.  For example Fidelity has no fee accounts for IRAs and Roths with thousands of investment choices.  You can also setup automatic drafts, so it simulates what happens with your 401K.  Not an employee of Fidelity, just a happy customer. Some companies pass the 401K fees onto their employees, and all have l",47.0,0.5114688277244568,24.0,26.25263110936186,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,517723,517723,"Roth IRAs divide your withdrawal into 3 categories: Contributions, Conversions, and Earnings. This is significant, because each have different tax consequences and the order of withdrawal is dictated by tax law. You can withdraw your contributions in less than 5 years for any reason (home buyer or not). You cannot withdraw your conversions or earnings without waiting 5 years unless you pay the 10%",3.0,0.6169949769973755,140.0,21.437719243418144,-1,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,410675,410675,"Why would you want to withdraw only the company match, and presumably leave your personal contributions sitting in your ex-company's 401k plan? Generally, 401k plans have larger annual expenses and provide for poorer investment choices than are available to you if you roll over your 401k investments into an IRA. So, unless you have specific reasons for wanting to continue to leave your money in th",92.0,0.4808933436870575,10.0,29.050792467690904,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,154839,154839,"Conversion of after-tax 401K into a Roth is known (on Bogleheads for instance) as a Mega Backdoor Roth IRA.  Recent tax rulings seem to allow for this kind of transfer more cleanly. After conversions, the money is treated as a normal Roth - you don't pay any taxes or penalties on contributions.  For investment earnings, the Roth IRA has the standard five-year rule: most commonly - you must hold th",42.0,0.5170099139213562,31.0,25.592310099876496,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,239341,239341,"""Close... Warning, I may be off a bit here; I'm sure someone will correct me if so. Traditional 401k or IRA: money goes in pre-tax (so, yes, you avoid paying tax on it now), grows untaxed, taxes are due when you retire and start taking money back out of the account -- but your income, including these withdrawals, is likely to be lower than your peak earning years so your tax rate will be lower. Yo",22.0,0.5478439331054688,62.0,23.76432583834701,0,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,490497,490497,"Back in the late 80's I had a co-worked do exactly this. In those days you could only do things quarterly: change the percentage, change the investment mix, make a withdrawal.. There were no Roth 401K accounts, but contributions could be pre-tax or post-tax. Long term employees were matched 100% up to 8%, newer employees were only matched 50% up to 8% (resulting in 4% match). Every quarter this em",36.0,0.5257819890975952,45.0,24.580640326347265,3,train,fiqa_combined_contribution_limits
10304,Are there limits on frequency of withdrawal from Roth 401K?,168530,168530,"""I spent some time searching, and couldn't find the answer written explicitly in IRS regulations.   What I did find was this chart from the irs showing that nonqualified distributions from a Roth 401k are pro-rated between contributions and earnings.  It is well documented that you can't withdraw any money early or tax free (even contributions) from a Roth 401k (""""Designated Roth Account"""" in IRS ",11.0,0.5782191157341003,125.0,21.87601677048469,0,train,fiqa_combined_contribution_limits
